Dosya,Şirket Adı,Web Sitesi,Eksik Link Sayısı,Eksik Linkler
mnsbilisim.json,Mnsbilisim,https://mnsbilisim.com,3,"linkedin, x, github"
monad.json,Monad,https://monad.com.tr,3,"facebook, youtube, github"
nacsoft.json,Nacsoft,https://nacsoft.com.tr,3,"x, facebook, github"
neksgen.json,Neksgen,https://neksgen.com.tr,3,"instagram, youtube, github"
nethouse.json,Nethouse,https://nethouse.com.tr,3,"linkedin, x, github"
netsmart.json,Netsmart,https://netsmart.com.tr,3,"x, facebook, github"
nttdata-solutions.json,Nttdata Solutions,https://nttdata-solutions.com/tr/,3,"x, facebook, github"
odine.json,Odine,https://odine.com,3,"instagram, youtube, github"
ortem.json,Ortem,https://ortem.com.tr,3,"linkedin, youtube, github"
payten.json,Payten,https://payten.com/tr,3,"instagram, facebook, github"
practicallsolutions.json,Practicallsolutions,https://practicallsolutions.com.tr,3,"x, youtube, github"
probel.json,Probel,https://probel.com.tr,3,"instagram, youtube, github"
prodea.json,Prodea,https://prodea.com.tr,3,"x, facebook, github"
provis.json,Provis,https://provis.com.tr,3,"x, youtube, github"
radore.json,Radore,https://radore.com,3,"x, facebook, github"
renovaconsulting.json,Renovaconsulting,https://renovaconsulting.com/tr,3,"x, youtube, github"
safe.json,Safe,https://safe.com.tr,3,"linkedin, youtube, github"
santsg.json,Santsg,https://santsg.com,3,"x, youtube, github"
senkron.json,Senkron,https://senkron.net,3,"x, instagram, github"
sestek.json,Sestek,https://sestek.com,3,"instagram, facebook, github"
setyazilim.json,Setyazilim,https://setyazilim.com.tr,3,"instagram, youtube, github"
sfs.json,Sfs,https://sfs.com.tr,3,"x, facebook, github"
softtech.json,Softtech,https://softtech.com.tr,3,"facebook, youtube, github"
turksat.json,Turksat,https://turksat.com.tr,3,"instagram, facebook, github"
turkuaz.json,Turkuaz,https://turkuaz.net,3,"facebook, youtube, github"
ultron.json,Ultron,https://ultron.com.tr,3,"x, youtube, github"
veranet.json,Veranet,https://veranet.com.tr,3,"x, youtube, github"
veribase.json,Veribase,https://veribase.com,3,"instagram, youtube, github"
viz.json,Viz,https://viz.net,3,"x, youtube, github"
yaz.json,Yaz,https://yaz.com.tr,3,"instagram, youtube, github"
yelloware.json,Yelloware,https://yelloware.com.tr,3,"x, youtube, github"
4thewall.json,4TheWall,https://4thewall.com/,2,"x, github"
adeo.json,Adeo,https://adeosecurity.com,2,"instagram, github"
agito.json,Agito,https://agito.com.tr,2,"facebook, github"
albarakatech.json,Albaraka Tech,https://albarakatech.com,2,"facebook, github"
appcent.json,Appcent,https://appcent.mobi,2,"facebook, github"
architecht.json,Architecht,https://architecht.com,2,"facebook, github"
ardbilisim.json,ARD Bilişim,https://ardbilisim.com.tr,2,"youtube, github"
arksigner.json,Arksigner,https://arksigner.com,2,"facebook, github"
artsistem.json,Art Sistem,https://artsistem.com,2,"x, github"
asistbt.json,Asist BT,https://asistbt.com.tr,2,"youtube, github"
atakdomain.json,Atak Domain,https://atakdomain.com,2,"youtube, github"
autorolaturkiye.json,Autorola Türkiye,https://autorolaturkiye.com.tr,2,"x, github"
badel.json,Badel,https://badel.com.tr,2,"youtube, github"
barikat.json,Barikat,https://barikat.com.tr,2,"instagram, github"
basistek.json,Basistek,https://basistek.com,2,"x, github"
bb.json,BB,https://bb.com.tr,2,"youtube, github"
beyaz.json,Beyaz,https://beyaz.net,2,"youtube, github"
beyn.json,Beyn,https://beyn.com.tr,2,"youtube, github"
bg-tek.json,BG-Tek,https://bg-tek.net,2,"youtube, github"
bilgeadam.json,Bilge Adam,https://bilgeadam.com,2,"youtube, github"
bilin.json,Bilin,https://bilin.com,2,"youtube, github"
bimel.json,Bimel,https://bimel.com.tr,2,"instagram, github"
binbircesit.json,Bin Bir Çeşit,https://binbircesit.com,2,"linkedin, github"
cadbim.json,Cadbim,https://cadbim.com.tr,2,"x, github"
camlica.json,Camlica,https://camlica.com.tr,2,"youtube, github"
ccr.json,Ccr,https://ccr.group,2,"instagram, github"
ceyber.json,Ceyber,https://ceyber.com,2,"x, github"
cizgi.json,Cizgi,https://cizgi.net,2,"x, github"
coretek.json,Coretek,https://coretek.com.tr,2,"youtube, github"
destel.json,Destel,https://destel.com.tr,2,"x, github"
dtcloudnow.json,Dtcloudnow,https://dtcloudnow.com/tr,2,"facebook, github"
eclit.json,Eclit,https://eclit.com,2,"facebook, github"
egebimtes.json,Egebimtes,https://egebimtes.com.tr,2,"youtube, github"
emn.json,Emn,https://emn.com.tr,2,"youtube, github"
enetki.json,Enetki,https://enetki.com,2,"facebook, github"
enfobilisim.json,Enfobilisim,https://enfobilisim.com,2,"youtube, github"
eplatform.json,Eplatform,https://eplatform.com.tr,2,"youtube, github"
esensi.json,Esensi,https://esensi.com.tr,2,"youtube, github"
estebilisim.json,Estebilisim,https://estebilisim.com,2,"youtube, github"
fiz.json,Fiz,https://fiz.com.tr,2,"instagram, github"
fonetbt.json,Fonetbt,https://fonetbt.com,2,"facebook, github"
galaksity.json,Galaksity,https://galaksity.com,2,"youtube, github"
golive.json,Golive,https://golive.com.tr,2,"youtube, github"
gtech.json,Gtech,https://gtech.com.tr,2,"x, github"
iceteknoloji.json,İceteknoloji,https://iceteknoloji.com.tr,2,"youtube, github"
improva.json,İmprova,https://improva.com.tr,2,"instagram, github"
infoline-tr.json,İnfoline Tr,https://infoline-tr.com,2,"x, github"
innthebox.json,İnnthebox,https://innthebox.com,2,"youtube, github"
interkomltd.json,İnterkomltd,https://interkomltd.com.tr,2,"youtube, github"
isnet.json,İsnet,https://isnet.net.tr,2,"youtube, github"
jforce.json,Jforce,https://jforce.com,2,"youtube, github"
karel.json,Karel,https://karel.com.tr,2,"youtube, github"
